date,mean,lo80,hi80,lo95,hi95
2026-01-01,4400.290938856821,4100.372431163993,4710.7578150639665,3955.898354208957,4891.374731017982
2026-02-01,4468.875225790431,4007.3821536199894,4955.480474384196,3795.915826546275,5253.093555019994
2026-03-01,4538.868998629096,3953.8990076716186,5164.2176326854515,3695.623963695628,5561.179570915737
2026-04-01,4610.307943877433,3918.588703193812,5358.405946531041,3622.543334614688,5848.334528676975
2026-05-01,4683.228812979768,3894.2371967290946,5545.365384960232,3565.714376388081,6125.749918496449
2026-06-01,4757.669458695897,3877.386663553847,5728.663401106227,3519.892530246721,6398.912312914038
2026-07-01,4833.668872871282,3866.07458619346,5910.3759939657875,3482.1049346415966,6671.047178853301
2026-08-01,4911.267225660277,3859.0666116918187,6091.8550083544815,3450.483425980826,6944.286410661916
2026-09-01,4990.5059062646515,3855.5303432712653,6274.054507771008,3423.7688305934803,7220.164602412788
2026-10-01,5071.427565251826,3854.8753454827147,6457.690941450813,3401.0680821167184,7499.862527220534
2026-11-01,5154.076158520626,3856.6664304908645,6643.330038365778,3381.722712365736,7784.339277599543
2026-12-01,5238.496992985615,3860.5730364233777,6831.437617666979,3365.23215090408,8074.409633884818
2027-01-01,5324.736774054358,3866.3379217301285,7022.411092073628,3351.2063344824674,8370.79216194299
2027-02-01,5412.843654975054,3873.7568907903997,7216.599949447542,3339.33504234625,8674.140626745359
2027-03-01,5502.867288136515,3882.6651575612414,7414.319606264322,3329.367288795018,8985.06539317667
2027-04-01,5594.858878405226,3892.9278795081123,7615.8611012739,3321.097029489297,9304.148560544072
2027-05-01,5688.871238589795,3904.433407930195,7821.498083805742,3314.3529773913365,9631.955038078213
2027-06-01,5784.958847125744,3917.0883630082117,8031.491988989969,3308.991177385574,9969.040915794818
2027-07-01,5883.1779080793585,3930.813967604812,8246.095966501918,3304.889482608135,10315.95999135662
2027-08-01,5983.586413573686,3945.543269746111,8465.55793357627,3301.943372469481,10673.269016898268
2027-09-01,6086.244208744177,3961.219005435142,8690.123001355636,3300.0627367723,11041.532045656224
2027-10-01,6191.2130593382335,3977.791931271977,8920.035445861042,3299.169368174244,11421.324140724433
2027-11-01,6298.55672207662,3995.2195073811035,9155.540343888792,3299.194982472531,11813.234631379197
2027-12-01,6408.341017901847,4013.4648453638097,9396.884959974781,3300.079637950564,12217.870051035121
